id;value;jhi_system;parsed;limit_date
1;Agent;quantify Gorgeous;Research program Borders;2021-06-03T03:07:58
2;Illinois clicks-and-mortar;SMS Assurance;Concrete;2021-06-02T11:36:00
3;Metal Account California;Clothing Jewelery;Kwanza Wooden;2021-06-02T19:12:07
4;tolerance Tasty;Mississippi;Fresh back;2021-06-02T21:46:56
5;dot-com Stream Chair;SAS;Berkshire Awesome Group;2021-06-02T08:13:26
6;Facilitator Movies;online;redefine JBOD Incredible;2021-06-02T10:00:23
7;Officer Bike;pink clicks-and-mortar;Indiana Fresh;2021-06-03T04:45:20
8;Pants Moldova scale;Rubber maroon Lane;Internal XSS;2021-06-03T03:31:50
9;Estate user-centric;Chair;responsive;2021-06-03T03:31:07
10;Assurance system-worthy Tools;Senior;Chief Bedfordshire leverage;2021-06-02T12:38:00
