id;value;jhi_system;parsed;outcome;serviced;serviced_end;disposition;not_inforce_reason
1;Response New;Grass-roots;SSL Cotton;instruction;2021-06-02T23:45:34;2021-06-03T05:30:43;Brand state;Baby Cambridgeshire
2;Carolina;one-to-one;system;Loan parse;2021-06-02T19:35:35;2021-06-02T12:10:10;Product;Account Bedfordshire
3;program;Small Plastic Frozen;benchmark mobile Specialist;Ergonomic override invoice;2021-06-02T11:33:24;2021-06-02T09:45:13;systems;Soft payment deposit
4;Credit;USB;e-services;Luxembourg up base;2021-06-02T12:28:23;2021-06-02T11:54:45;integrate International Planner;Denar Mouse
5;maroon override;Berkshire JBOD;Fresh best-of-breed vertical;Islands Cotton Avon;2021-06-02T20:55:34;2021-06-02T14:32:55;Paradigm blockchains;array
6;microchip;Tuna Refined;Avon Designer;Buckinghamshire;2021-06-03T01:37:30;2021-06-02T08:13:23;embrace;transparent Up-sized
7;Car panel Bedfordshire;Keys;Director ivory d'Ivoire;Sports benchmark cultivate;2021-06-03T01:43:47;2021-06-03T07:28:38;Facilitator circuit;Salad
8;Avenue Principal;Secured drive;recontextualize Steel knowledge;Investor;2021-06-02T12:43:26;2021-06-02T17:37:57;Rustic ROI;logistical quantify Principal
9;Brooks Account Auto;Republic orchid;copying payment;Architect;2021-06-02T18:01:28;2021-06-03T04:37:19;programming Wooden;payment
10;yellow;mobile;e-services Loan e-services;encryption orchestrate Way;2021-06-03T00:22:05;2021-06-02T08:39:12;turquoise;intermediate partnerships
