id;type;start;end
1;Foster;2021-06-03T06:24:43;2021-06-02T10:50:52
2;Retired;2021-06-02T15:09:19;2021-06-02T13:56:54
3;Foster;2021-06-02T21:42:00;2021-06-02T22:13:31
4;Retired;2021-06-03T04:46:41;2021-06-03T03:36:53
5;Foster;2021-06-02T20:46:04;2021-06-02T14:33:27
6;Retired;2021-06-03T05:44:30;2021-06-02T17:18:39
7;Foster;2021-06-02T13:14:28;2021-06-02T14:29:58
8;Retired;2021-06-02T12:28:47;2021-06-02T13:40:46
9;Foster;2021-06-02T19:48:48;2021-06-02T17:47:13
10;Foster;2021-06-02T09:33:58;2021-06-03T06:06:33
