id;guid;parsed;identifier;payment_date;amount;payment_status
1;Gateway;Small 24/365;North Outdoors copying;2021-06-03T05:46:15;13229;Paid
2;Realigned bypassing Bangladesh;purple Small;orchid;2021-06-02T10:00:22;52948;Cleared
3;applications;models Investor Electronics;payment;2021-06-02T14:36:45;77687;Cleared
4;morph auxiliary Metal;PNG multi-byte methodical;Industrial;2021-06-03T06:55:22;20700;Paid
5;Usability;mint;web;2021-06-02T19:48:57;72347;Paid
6;blue Borders Manager;deposit Soft Alabama;Unbranded Orchestrator primary;2021-06-02T13:31:58;56135;Paid
7;withdrawal Account 24/365;content architect Faso;Rustic;2021-06-03T02:37:05;46677;Paid
8;Practical Cotton Fresh;Mountain;IB;2021-06-03T00:22:12;87329;Cleared
9;exploit hard Identity;Customer Zealand Well;web-enabled;2021-06-03T04:21:37;27669;Cleared
10;Yemen microchip;Seamless Gabon;redundant Investment Cambridgeshire;2021-06-03T03:43:31;86113;Cleared
