id;identifier;predecessor;type;date;amount
1;Monaco Fish;Avon;human-resource Avon;2021-06-02T15:19:47;89553
2;compress compress compressing;calculating;extensible initiatives grow;2021-06-02T21:35:54;56376
3;Towels optical;Future-proofed orchid;envisioneer parsing Somoni;2021-06-02T13:07:13;92302
4;Toys Mews;RAM;Key Soft eyeballs;2021-06-02T20:15:39;86576
5;Illinois;Computers Senior hack;Developer;2021-06-02T13:06:36;46113
6;Cotton Fish productize;iterate;bandwidth;2021-06-02T18:25:09;82770
7;Belize;architect Producer Metical;port hack;2021-06-02T17:32:52;54320
8;Personal;killer Chicken Pizza;global Orchestrator;2021-06-03T06:06:56;47319
9;Sharable;relationships quantifying;JBOD world-class;2021-06-02T17:43:31;5306
10;Dynamic mint Functionality;Forward Tactics;Directives;2021-06-02T10:58:00;68647
